"plantID","row","individual","treatment","rep","accession","line","uniqueID","flowering"
"PI234011-4","3","1","medN","1","PI234011","4","PI234011-4_medN1",
"PI281111-3","3","2","medN","1","PI281111","3","PI281111-3_medN1","NA"
"PI275138-5","3","3","medN","1","PI275138","5","PI275138-5_medN1","2022-07-06"
"PI234011-13","3","4","medN","1","PI234011","13","PI234011-13_medN1","NA"
"PI275138-7","3","5","medN","1","PI275138","7","PI275138-7_medN1","2022-07-06"
"PI281111-8","3","6","medN","1","PI281111","8","PI281111-8_medN1","2022-07-29"
"PI281111-2","3","7","medN","1","PI281111","2","PI281111-2_medN1","2022-07-31"
"PI230503-2","3","8","medN","1","PI230503","2","PI230503-2_medN1",
"PI473281-9","3","9","medN","1","PI473281","9","PI473281-9_medN1",
"PI473281-10","3","10","medN","1","PI473281","10","PI473281-10_medN1","2022-07-31"
"PI230503-11","3","11","medN","1","PI230503","11","PI230503-11_medN1","2022-07-28"
"PI498298-7","3","12","medN","1","PI498298","7","PI498298-7_medN1","2022-07-11"
"PI498300-7","3","13","medN","1","PI498300","7","PI498300-7_medN1","2022-07-06"
"PI365344-11","3","14","medN","1","PI365344","11","PI365344-11_medN1",
"PI275138-10","3","15","medN","1","PI275138","10","PI275138-10_medN1","NA"
"PI234011-10","3","16","medN","1","PI234011","10","PI234011-10_medN1","NA"
"PI473281-14","3","17","medN","1","PI473281","14","PI473281-14_medN1",
"PI230503-7","3","18","medN","1","PI230503","7","PI230503-7_medN1",
"PI498298-10","3","19","medN","1","PI498298","10","PI498298-10_medN1","2022-07-11"
"PI472944-6","3","20","medN","1","PI472944","6","PI472944-6_medN1","2022-07-12"
"PI472944-8","3","21","medN","1","PI472944","8","PI472944-8_medN1","2022-07-10"
"PI230503-14","3","22","medN","1","PI230503","14","PI230503-14_medN1","NA"
"PI234011-9","3","23","medN","1","PI234011","9","PI234011-9_medN1","2022-07-08"
"PI498300-1","3","24","medN","1","PI498300","1","PI498300-1_medN1","NA"
"PI365344-14","3","25","medN","1","PI365344","14","PI365344-14_medN1","NA"
"PI281111-9","3","26","medN","1","PI281111","9","PI281111-9_medN1","2022-07-07"
"PI275138-12","3","27","medN","1","PI275138","12","PI275138-12_medN1","2022-07-06"
"PI498300-6","3","28","medN","1","PI498300","6","PI498300-6_medN1","NA"
"PI472944-11","3","29","medN","1","PI472944","11","PI472944-11_medN1","2022-07-14"
"PI472944-7","3","30","medN","1","PI472944","7","PI472944-7_medN1","2022-07-06"
"PI275138-6","3","31","medN","1","PI275138","6","PI275138-6_medN1","2022-07-12"
"PI234011-3","3","32","medN","1","PI234011","3","PI234011-3_medN1",
"PI275138-9","3","33","medN","1","PI275138","9","PI275138-9_medN1","NA"
"PI498300-5","3","34","medN","1","PI498300","5","PI498300-5_medN1","2022-07-10"
"PI365344-10","3","35","medN","1","PI365344","10","PI365344-10_medN1","NA"
"PI230503-12","3","36","medN","1","PI230503","12","PI230503-12_medN1","2022-07-28"
"PI498298-1","3","37","medN","1","PI498298","1","PI498298-1_medN1","2022-07-19"
"PI473281-6","3","38","medN","1","PI473281","6","PI473281-6_medN1","2022-08-01"
"PI234011-8","3","39","medN","1","PI234011","8","PI234011-8_medN1",
"PI230503-13","3","40","medN","1","PI230503","13","PI230503-13_medN1",
"PI498300-9","3","41","medN","1","PI498300","9","PI498300-9_medN1","2022-07-10"
"PI281111-10","3","42","medN","1","PI281111","10","PI281111-10_medN1","2022-08-01"
"PI281111-7","3","43","medN","1","PI281111","7","PI281111-7_medN1",
"PI473281-8","3","44","medN","1","PI473281","8","PI473281-8_medN1","2022-08-02"
"PI281111-6","3","45","medN","1","PI281111","6","PI281111-6_medN1","2022-08-01"
"PI498298-15","3","46","medN","1","PI498298","15","PI498298-15_medN1","2022-07-11"
"PI225677-6","3","47","medN","1","PI225677","6","PI225677-6_medN1","NA"
"PI473281-3","3","48","medN","1","PI473281","3","PI473281-3_medN1","2022-07-28"
"PI230503-10","3","49","medN","1","PI230503","10","PI230503-10_medN1","2022-07-26"
"PI472944-12","3","50","medN","1","PI472944","12","PI472944-12_medN1","2022-07-12"
"PI498300-12","3","51","medN","1","PI498300","12","PI498300-12_medN1",
"PI230503-1","3","52","medN","1","PI230503","1","PI230503-1_medN1",
"PI498300-8","3","53","medN","1","PI498300","8","PI498300-8_medN1","2022-07-29"
"PI365344-4","3","54","medN","1","PI365344","4","PI365344-4_medN1","NA"
"PI230503-15","3","55","medN","1","PI230503","15","PI230503-15_medN1",
"PI498300-2","3","56","medN","1","PI498300","2","PI498300-2_medN1","2022-07-29"
"PI275138-11","3","57","medN","1","PI275138","11","PI275138-11_medN1","2022-07-06"
"PI275138-14","3","58","medN","1","PI275138","14","PI275138-14_medN1","2022-07-06"
"PI498298-14","3","59","medN","1","PI498298","14","PI498298-14_medN1","2022-07-10"
"PI275138-1","3","60","medN","1","PI275138","1","PI275138-1_medN1","2022-07-15"
"PI498298-3","3","61","medN","1","PI498298","3","PI498298-3_medN1","2022-07-15"
"PI498300-13","3","62","medN","1","PI498300","13","PI498300-13_medN1","2022-07-21"
"PI473281-5","3","63","medN","1","PI473281","5","PI473281-5_medN1","2022-08-06"
"PI498300-15","3","64","medN","1","PI498300","15","PI498300-15_medN1","2022-07-21"
"PI473281-4","3","65","medN","1","PI473281","4","PI473281-4_medN1","2022-07-20"
"PI498300-14","3","66","medN","1","PI498300","14","PI498300-14_medN1","2022-07-05"
"PI225677-7","3","67","medN","1","PI225677","7","PI225677-7_medN1",
"PI473281-2","3","68","medN","1","PI473281","2","PI473281-2_medN1","2022-08-06"
"PI281111-12","3","69","medN","1","PI281111","12","PI281111-12_medN1","2022-08-05"
"PI498300-11","3","70","medN","1","PI498300","11","PI498300-11_medN1","2022-07-20"
"PI365344-6","3","71","medN","1","PI365344","6","PI365344-6_medN1","NA"
"PI365344-12","3","72","medN","1","PI365344","12","PI365344-12_medN1","NA"
"PI281111-14","3","73","medN","1","PI281111","14","PI281111-14_medN1","2022-07-26"
"PI472944-2","3","74","medN","1","PI472944","2","PI472944-2_medN1","2022-07-15"
"PI365344-15","3","75","medN","1","PI365344","15","PI365344-15_medN1","NA"
"PI498298-5","3","76","medN","1","PI498298","5","PI498298-5_medN1",
"PI498298-8","3","77","medN","1","PI498298","8","PI498298-8_medN1","2022-07-19"
"PI472944-9","3","78","medN","1","PI472944","9","PI472944-9_medN1","2022-07-15"
"PI275138-2","3","79","medN","1","PI275138","2","PI275138-2_medN1","2022-07-06"
"PI498298-6","3","80","medN","1","PI498298","6","PI498298-6_medN1","2022-07-26"
"PI472944-14","3","81","medN","1","PI472944","14","PI472944-14_medN1","2022-07-06"
"PI473281-12","3","82","medN","1","PI473281","12","PI473281-12_medN1","NA"
"PI365344-1","3","83","medN","1","PI365344","1","PI365344-1_medN1","NA"
"PI473281-7","3","84","medN","1","PI473281","7","PI473281-7_medN1","2022-07-28"
"PI498300-3","3","85","medN","1","PI498300","3","PI498300-3_medN1","NA"
"PI275138-13","3","86","medN","1","PI275138","13","PI275138-13_medN1","2022-07-07"
"PI498298-11","3","87","medN","1","PI498298","11","PI498298-11_medN1","NA"
"PI472944-3","3","88","medN","1","PI472944","3","PI472944-3_medN1","2022-07-12"
"PI498298-12","3","89","medN","1","PI498298","12","PI498298-12_medN1","2022-07-23"
"PI281111-11","3","90","medN","1","PI281111","11","PI281111-11_medN1",
"PI365344-9","3","91","medN","1","PI365344","9","PI365344-9_medN1","NA"
"PI473281-11","3","92","medN","1","PI473281","11","PI473281-11_medN1","2022-08-01"
"PI365344-2","3","93","medN","1","PI365344","2","PI365344-2_medN1","2022-07-21"
"PI498298-4","3","94","medN","1","PI498298","4","PI498298-4_medN1","2022-07-20"
"PI234011-1","3","95","medN","1","PI234011","1","PI234011-1_medN1","2022-08-04"
"PI234011-12","3","96","medN","1","PI234011","12","PI234011-12_medN1","2022-08-02"
"PI498300-10","3","97","medN","1","PI498300","10","PI498300-10_medN1","2022-07-06"
"PI365344-13","3","98","medN","1","PI365344","13","PI365344-13_medN1","2022-08-10"
"PI225677-2","3","99","medN","1","PI225677","2","PI225677-2_medN1",
"PI365344-5","3","100","medN","1","PI365344","5","PI365344-5_medN1","2022-07-20"
"PI472944-13","3","101","medN","1","PI472944","13","PI472944-13_medN1","2022-07-12"
"PI473281-13","3","102","medN","1","PI473281","13","PI473281-13_medN1","2022-07-29"
"PI472944-1","3","103","medN","1","PI472944","1","PI472944-1_medN1","2022-07-08"
"PI234011-15","3","104","medN","1","PI234011","15","PI234011-15_medN1","NA"
"PI275138-4","3","105","medN","1","PI275138","4","PI275138-4_medN1","2022-07-06"
"PI275138-8","3","106","medN","1","PI275138","8","PI275138-8_medN1","2022-07-12"
"PI225677-4","3","107","medN","1","PI225677","4","PI225677-4_medN1","NA"
"PI473281-15","3","108","medN","1","PI473281","15","PI473281-15_medN1","2022-07-30"
"PI472944-10","3","109","medN","1","PI472944","10","PI472944-10_medN1","2022-07-10"
"PI472944-4","3","110","medN","1","PI472944","4","PI472944-4_medN1","2022-07-08"
"PI498298-2","3","111","medN","1","PI498298","2","PI498298-2_medN1","2022-07-21"
"PI281111-5","3","112","medN","1","PI281111","5","PI281111-5_medN1","2022-08-04"
"PI281111-13","3","113","medN","1","PI281111","13","PI281111-13_medN1","2022-08-02"
"PI230503-8","3","114","medN","1","PI230503","8","PI230503-8_medN1","2022-07-29"
"PI275138-3","3","115","medN","1","PI275138","3","PI275138-3_medN1","2022-07-15"
"PI234011-6","3","116","medN","1","PI234011","6","PI234011-6_medN1",
"PI234011-11","3","117","medN","1","PI234011","11","PI234011-11_medN1","2022-07-28"
"PI472944-5","3","118","medN","1","PI472944","5","PI472944-5_medN1","NA"
"PI225677-10","3","119","medN","1","PI225677","10","PI225677-10_medN1","2022-07-27"
"PI365344-3","3","120","medN","1","PI365344","3","PI365344-3_medN1","NA"
"PI281111-1","3","121","medN","1","PI281111","1","PI281111-1_medN1","2022-08-02"
"PI234011-14","3","122","medN","1","PI234011","14","PI234011-14_medN1","NA"
"PI234011-2","3","123","medN","1","PI234011","2","PI234011-2_medN1",
"PI281111-4","3","124","medN","1","PI281111","4","PI281111-4_medN1","NA"
"PI498298-13","3","125","medN","1","PI498298","13","PI498298-13_medN1","2022-07-23"
"PI498298-9","3","126","medN","1","PI498298","9","PI498298-9_medN1","2022-07-21"
"PI473281-1","3","127","medN","1","PI473281","1","PI473281-1_medN1","2022-07-25"
"PI365344-8","3","128","medN","1","PI365344","8","PI365344-8_medN1","NA"
"PI498300-4","3","129","medN","1","PI498300","4","PI498300-4_medN1","2022-08-01"
"PI225677-11","3","130","medN","1","PI225677","11","PI225677-11_medN1","NA"
"PI225677-14","3","131","medN","1","PI225677","14","PI225677-14_medN1",
"PI230503-9","3","132","medN","1","PI230503","9","PI230503-9_medN1","2022-08-06"
"PI234011-3","4","132","medN","2","PI234011","3","PI234011-3_medN2","2022-08-05"
"PI234011-6","4","131","medN","2","PI234011","6","PI234011-6_medN2","2022-08-03"
"PI230503-7","4","130","medN","2","PI230503","7","PI230503-7_medN2",
"PI281111-4","4","129","medN","2","PI281111","4","PI281111-4_medN2","NA"
"PI234011-12","4","128","medN","2","PI234011","12","PI234011-12_medN2","2022-08-05"
"PI498298-8","4","127","medN","2","PI498298","8","PI498298-8_medN2","2022-07-20"
"PI498300-1","4","126","medN","2","PI498300","1","PI498300-1_medN2","2022-07-11"
"PI225677-6","4","125","medN","2","PI225677","6","PI225677-6_medN2","2022-07-14"
"PI498300-15","4","124","medN","2","PI498300","15","PI498300-15_medN2","2022-07-10"
"PI498300-6","4","123","medN","2","PI498300","6","PI498300-6_medN2","NA"
"PI498298-2","4","122","medN","2","PI498298","2","PI498298-2_medN2","2022-07-22"
"PI498300-2","4","121","medN","2","PI498300","2","PI498300-2_medN2",
"PI281111-11","4","120","medN","2","PI281111","11","PI281111-11_medN2","NA"
"PI498298-6","4","119","medN","2","PI498298","6","PI498298-6_medN2","2022-07-12"
"PI275138-13","4","118","medN","2","PI275138","13","PI275138-13_medN2","2022-07-06"
"PI472944-1","4","117","medN","2","PI472944","1","PI472944-1_medN2","2022-07-06"
"PI234011-9","4","116","medN","2","PI234011","9","PI234011-9_medN2","2022-07-28"
"PI473281-7","4","115","medN","2","PI473281","7","PI473281-7_medN2",
"PI275138-7","4","114","medN","2","PI275138","7","PI275138-7_medN2","2022-07-06"
"PI281111-1","4","113","medN","2","PI281111","1","PI281111-1_medN2","2022-07-28"
"PI275138-3","4","112","medN","2","PI275138","3","PI275138-3_medN2","2022-07-08"
"PI234011-14","4","111","medN","2","PI234011","14","PI234011-14_medN2","NA"
"PI472944-4","4","110","medN","2","PI472944","4","PI472944-4_medN2","2022-07-08"
"PI225677-11","4","109","medN","2","PI225677","11","PI225677-11_medN2","NA"
"PI230503-1","4","108","medN","2","PI230503","1","PI230503-1_medN2","NA"
"PI234011-15","4","107","medN","2","PI234011","15","PI234011-15_medN2","NA"
"PI498298-3","4","106","medN","2","PI498298","3","PI498298-3_medN2","2022-07-16"
"PI498298-9","4","105","medN","2","PI498298","9","PI498298-9_medN2","2022-07-22"
"PI498300-12","4","104","medN","2","PI498300","12","PI498300-12_medN2","NA"
"PI365344-1","4","103","medN","2","PI365344","1","PI365344-1_medN2","NA"
"PI225677-14","4","102","medN","2","PI225677","14","PI225677-14_medN2",
"PI472944-10","4","101","medN","2","PI472944","10","PI472944-10_medN2","2022-07-10"
"PI365344-12","4","100","medN","2","PI365344","12","PI365344-12_medN2","2022-07-29"
"PI498298-7","4","99","medN","2","PI498298","7","PI498298-7_medN2","2022-07-19"
"PI498300-7","4","98","medN","2","PI498300","7","PI498300-7_medN2","2022-07-06"
"PI473281-3","4","97","medN","2","PI473281","3","PI473281-3_medN2","2022-07-22"
"PI472944-6","4","96","medN","2","PI472944","6","PI472944-6_medN2","2022-07-12"
"PI473281-6","4","95","medN","2","PI473281","6","PI473281-6_medN2","2022-08-07"
"PI498300-8","4","94","medN","2","PI498300","8","PI498300-8_medN2","2022-08-10"
"PI234011-13","4","93","medN","2","PI234011","13","PI234011-13_medN2",
"PI275138-10","4","92","medN","2","PI275138","10","PI275138-10_medN2","2022-07-06"
"PI498300-13","4","91","medN","2","PI498300","13","PI498300-13_medN2","2022-07-16"
"PI230503-9","4","90","medN","2","PI230503","9","PI230503-9_medN2","2022-08-03"
"PI472944-14","4","89","medN","2","PI472944","14","PI472944-14_medN2","2022-07-12"
"PI498298-12","4","88","medN","2","PI498298","12","PI498298-12_medN2","2022-07-22"
"PI473281-2","4","87","medN","2","PI473281","2","PI473281-2_medN2","NA"
"PI365344-11","4","86","medN","2","PI365344","11","PI365344-11_medN2","NA"
"PI473281-4","4","85","medN","2","PI473281","4","PI473281-4_medN2","2022-08-04"
"PI234011-10","4","84","medN","2","PI234011","10","PI234011-10_medN2","NA"
"PI275138-9","4","83","medN","2","PI275138","9","PI275138-9_medN2","2022-07-06"
"PI234011-2","4","82","medN","2","PI234011","2","PI234011-2_medN2","2022-08-08"
"PI498298-11","4","81","medN","2","PI498298","11","PI498298-11_medN2","NA"
"PI498298-1","4","80","medN","2","PI498298","1","PI498298-1_medN2","2022-07-18"
"PI230503-11","4","79","medN","2","PI230503","11","PI230503-11_medN2","2022-07-30"
"PI230503-8","4","78","medN","2","PI230503","8","PI230503-8_medN2","NA"
"PI365344-3","4","77","medN","2","PI365344","3","PI365344-3_medN2","NA"
"PI230503-14","4","76","medN","2","PI230503","14","PI230503-14_medN2","2022-08-09"
"PI275138-14","4","75","medN","2","PI275138","14","PI275138-14_medN2","2022-07-06"
"PI365344-5","4","74","medN","2","PI365344","5","PI365344-5_medN2","2022-07-20"
"PI472944-13","4","73","medN","2","PI472944","13","PI472944-13_medN2","2022-07-11"
"PI498298-14","4","72","medN","2","PI498298","14","PI498298-14_medN2","2022-07-23"
"PI281111-2","4","71","medN","2","PI281111","2","PI281111-2_medN2","2022-07-30"
"PI498298-15","4","70","medN","2","PI498298","15","PI498298-15_medN2","2022-07-16"
"PI472944-2","4","69","medN","2","PI472944","2","PI472944-2_medN2","2022-07-08"
"PI230503-13","4","68","medN","2","PI230503","13","PI230503-13_medN2",
"PI281111-12","4","67","medN","2","PI281111","12","PI281111-12_medN2","2022-07-29"
"PI275138-1","4","66","medN","2","PI275138","1","PI275138-1_medN2","2022-07-09"
"PI281111-13","4","65","medN","2","PI281111","13","PI281111-13_medN2",
"PI230503-2","4","64","medN","2","PI230503","2","PI230503-2_medN2",
"PI275138-6","4","63","medN","2","PI275138","6","PI275138-6_medN2","2022-07-08"
"PI472944-8","4","62","medN","2","PI472944","8","PI472944-8_medN2","NA"
"PI365344-15","4","61","medN","2","PI365344","15","PI365344-15_medN2","NA"
"PI498300-5","4","60","medN","2","PI498300","5","PI498300-5_medN2","2022-07-12"
"PI275138-5","4","59","medN","2","PI275138","5","PI275138-5_medN2","2022-07-07"
"PI472944-9","4","58","medN","2","PI472944","9","PI472944-9_medN2","2022-07-09"
"PI473281-13","4","57","medN","2","PI473281","13","PI473281-13_medN2","2022-07-31"
"PI498300-3","4","56","medN","2","PI498300","3","PI498300-3_medN2","2022-07-08"
"PI281111-9","4","55","medN","2","PI281111","9","PI281111-9_medN2","2022-07-13"
"PI365344-13","4","54","medN","2","PI365344","13","PI365344-13_medN2","2022-07-26"
"PI225677-10","4","53","medN","2","PI225677","10","PI225677-10_medN2","2022-07-17"
"PI473281-10","4","52","medN","2","PI473281","10","PI473281-10_medN2","2022-08-02"
"PI234011-4","4","51","medN","2","PI234011","4","PI234011-4_medN2",
"PI230503-15","4","50","medN","2","PI230503","15","PI230503-15_medN2",
"PI281111-5","4","49","medN","2","PI281111","5","PI281111-5_medN2","2022-08-02"
"PI472944-7","4","48","medN","2","PI472944","7","PI472944-7_medN2","2022-07-07"
"PI365344-14","4","47","medN","2","PI365344","14","PI365344-14_medN2","2022-07-18"
"PI365344-9","4","46","medN","2","PI365344","9","PI365344-9_medN2",
"PI473281-8","4","45","medN","2","PI473281","8","PI473281-8_medN2","2022-07-30"
"PI281111-6","4","44","medN","2","PI281111","6","PI281111-6_medN2","2022-07-22"
"PI234011-1","4","43","medN","2","PI234011","1","PI234011-1_medN2","2022-07-08"
"PI473281-9","4","42","medN","2","PI473281","9","PI473281-9_medN2",
"PI281111-14","4","41","medN","2","PI281111","14","PI281111-14_medN2",
"PI498300-11","4","40","medN","2","PI498300","11","PI498300-11_medN2","2022-07-16"
"PI473281-5","4","39","medN","2","PI473281","5","PI473281-5_medN2",
"PI275138-8","4","38","medN","2","PI275138","8","PI275138-8_medN2","2022-07-14"
"PI230503-10","4","37","medN","2","PI230503","10","PI230503-10_medN2","2022-08-01"
"PI473281-1","4","36","medN","2","PI473281","1","PI473281-1_medN2","2022-07-27"
"PI473281-11","4","35","medN","2","PI473281","11","PI473281-11_medN2","2022-08-04"
"PI281111-7","4","34","medN","2","PI281111","7","PI281111-7_medN2",
"PI281111-8","4","33","medN","2","PI281111","8","PI281111-8_medN2",
"PI498298-10","4","32","medN","2","PI498298","10","PI498298-10_medN2","2022-07-12"
"PI498300-10","4","31","medN","2","PI498300","10","PI498300-10_medN2","2022-07-11"
"PI498300-4","4","30","medN","2","PI498300","4","PI498300-4_medN2","2022-08-04"
"PI473281-15","4","29","medN","2","PI473281","15","PI473281-15_medN2","2022-08-03"
"PI498298-5","4","28","medN","2","PI498298","5","PI498298-5_medN2","2022-08-03"
"PI365344-4","4","27","medN","2","PI365344","4","PI365344-4_medN2","NA"
"PI275138-4","4","26","medN","2","PI275138","4","PI275138-4_medN2","2022-07-06"
"PI275138-2","4","25","medN","2","PI275138","2","PI275138-2_medN2","2022-07-06"
"PI275138-11","4","24","medN","2","PI275138","11","PI275138-11_medN2","2022-07-11"
"PI473281-12","4","23","medN","2","PI473281","12","PI473281-12_medN2","2022-07-31"
"PI225677-2","4","22","medN","2","PI225677","2","PI225677-2_medN2","2022-08-01"
"PI225677-7","4","21","medN","2","PI225677","7","PI225677-7_medN2","2022-08-09"
"PI472944-11","4","20","medN","2","PI472944","11","PI472944-11_medN2","2022-07-19"
"PI281111-10","4","19","medN","2","PI281111","10","PI281111-10_medN2","2022-07-30"
"PI365344-10","4","18","medN","2","PI365344","10","PI365344-10_medN2","NA"
"PI234011-8","4","17","medN","2","PI234011","8","PI234011-8_medN2","NA"
"PI225677-4","4","16","medN","2","PI225677","4","PI225677-4_medN2","NA"
"PI365344-2","4","15","medN","2","PI365344","2","PI365344-2_medN2","NA"
"PI275138-12","4","14","medN","2","PI275138","12","PI275138-12_medN2","2022-07-11"
"PI473281-14","4","13","medN","2","PI473281","14","PI473281-14_medN2",
"PI498298-4","4","12","medN","2","PI498298","4","PI498298-4_medN2","2022-07-19"
"PI472944-5","4","11","medN","2","PI472944","5","PI472944-5_medN2","2022-07-06"
"PI498300-9","4","10","medN","2","PI498300","9","PI498300-9_medN2","2022-07-14"
"PI281111-3","4","9","medN","2","PI281111","3","PI281111-3_medN2",
"PI365344-6","4","8","medN","2","PI365344","6","PI365344-6_medN2","2022-08-03"
"PI498300-14","4","7","medN","2","PI498300","14","PI498300-14_medN2","2022-07-18"
"PI365344-8","4","6","medN","2","PI365344","8","PI365344-8_medN2","NA"
"PI472944-12","4","5","medN","2","PI472944","12","PI472944-12_medN2","2022-07-08"
"PI234011-11","4","4","medN","2","PI234011","11","PI234011-11_medN2","2022-08-04"
"PI472944-3","4","3","medN","2","PI472944","3","PI472944-3_medN2","NA"
"PI498298-13","4","2","medN","2","PI498298","13","PI498298-13_medN2","2022-07-19"
"PI230503-12","4","1","medN","2","PI230503","12","PI230503-12_medN2","2022-08-07"
"PI473281-3","1","1","lowN","1","PI473281","3","PI473281-3_lowN1","2022-07-20"
"PI498300-10","1","2","lowN","1","PI498300","10","PI498300-10_lowN1","2022-07-19"
"PI498300-11","1","3","lowN","1","PI498300","11","PI498300-11_lowN1","NA"
"PI365344-3","1","4","lowN","1","PI365344","3","PI365344-3_lowN1",
"PI498298-13","1","5","lowN","1","PI498298","13","PI498298-13_lowN1","2022-07-23"
"PI498298-12","1","6","lowN","1","PI498298","12","PI498298-12_lowN1","NA"
"PI234011-3","1","7","lowN","1","PI234011","3","PI234011-3_lowN1","NA"
"PI472944-5","1","8","lowN","1","PI472944","5","PI472944-5_lowN1","2022-07-11"
"PI498298-7","1","9","lowN","1","PI498298","7","PI498298-7_lowN1","2022-07-19"
