plantID,row,individual,treatment,rep,accession,line,uniqueID,flowering,fresh_vine_g,tuber_mass,plant_height,n_daughter_plants,dispersion,dry_vine_mass,two_bags
PI275138-5,3,3,medN,1,PI275138,5,PI275138-5_medN1,7/6/22,2032,NA,58,1,43,346,FALSE
PI275138-7,3,5,medN,1,PI275138,7,PI275138-7_medN1,7/6/22,3168,NA,69,4,34,516,FALSE
PI281111-8,3,6,medN,1,PI281111,8,PI281111-8_medN1,7/29/22,230,20,30,NA,0,92,FALSE
PI281111-2,3,7,medN,1,PI281111,2,PI281111-2_medN1,7/31/22,546,NA,43,NA,0,134,FALSE
PI230503-2,3,8,medN,1,PI230503,2,PI230503-2_medN1,NA,142,NA,27,NA,0,76,FALSE
PI473281-9,3,9,medN,1,PI473281,9,PI473281-9_medN1,8/16/22,495,NA,41,NA,0,122,FALSE
PI473281-10,3,10,medN,1,PI473281,10,PI473281-10_medN1,7/31/22,910,NA,50,NA,0,156,FALSE
PI230503-11,3,11,medN,1,PI230503,11,PI230503-11_medN1,7/28/22,472,4,50,0,0,116,FALSE
PI498298-7,3,12,medN,1,PI498298,7,PI498298-7_medN1,7/11/22,4012,6,64,NA,0,668,FALSE
PI498300-7,3,13,medN,1,PI498300,7,PI498300-7_medN1,7/6/22,460,NA,39,5,31,120,FALSE
PI365344-11,3,14,medN,1,PI365344,11,PI365344-11_medN1,NA,122,NA,22,NA,0,66,FALSE
PI473281-14,3,17,medN,1,PI473281,14,PI473281-14_medN1,NA,230,2,40,NA,0,84,FALSE
PI230503-7,3,18,medN,1,PI230503,7,PI230503-7_medN1,NA,248,NA,39,NA,0,92,FALSE
PI498298-10,3,19,medN,1,PI498298,10,PI498298-10_medN1,7/11/22,7854,12,73,NA,0,1048,TRUE
PI472944-6,3,20,medN,1,PI472944,6,PI472944-6_medN1,7/12/22,1442,48,30,8,48,324,FALSE
PI472944-8,3,21,medN,1,PI472944,8,PI472944-8_medN1,7/10/22,846,NA,52,NA,0,154,FALSE
PI234011-9,3,23,medN,1,PI234011,9,PI234011-9_medN1,7/8/22,116,36,19,NA,0,68,FALSE
PI281111-9,3,26,medN,1,PI281111,9,PI281111-9_medN1,7/7/22,494,NA,47,1,26,116,FALSE
PI275138-12,3,27,medN,1,PI275138,12,PI275138-12_medN1,7/6/22,1554,NA,48,9,66,318,FALSE
PI472944-11,3,29,medN,1,PI472944,11,PI472944-11_medN1,7/14/22,2046,14,41,13,131,390,FALSE
PI472944-7,3,30,medN,1,PI472944,7,PI472944-7_medN1,7/6/22,1360,80,35,2,46,280,FALSE
PI275138-6,3,31,medN,1,PI275138,6,PI275138-6_medN1,7/12/22,566,NA,45,NA,0,142,FALSE
PI234011-3,3,32,medN,1,PI234011,3,PI234011-3_medN1,NA,80,NA,20,NA,0,62,FALSE
PI498300-5,3,34,medN,1,PI498300,5,PI498300-5_medN1,7/10/22,742,NA,42,NA,0,166,FALSE
PI230503-12,3,36,medN,1,PI230503,12,PI230503-12_medN1,7/28/22,742,NA,46,NA,0,160,FALSE
PI498298-1,3,37,medN,1,PI498298,1,PI498298-1_medN1,7/19/22,936,NA,39,NA,0,280,FALSE
PI473281-6,3,38,medN,1,PI473281,6,PI473281-6_medN1,8/1/22,738,18,49,5,21,154,FALSE
PI234011-8,3,39,medN,1,PI234011,8,PI234011-8_medN1,NA,130,NA,23,NA,0,68,FALSE
PI230503-13,3,40,medN,1,PI230503,13,PI230503-13_medN1,NA,68,NA,29,NA,0,569,FALSE
PI498300-9,3,41,medN,1,PI498300,9,PI498300-9_medN1,7/10/22,1762,NA,58,1,28,294,FALSE
PI281111-10,3,42,medN,1,PI281111,10,PI281111-10_medN1,8/1/22,278,NA,44,NA,0,88,FALSE
PI281111-7,3,43,medN,1,PI281111,7,PI281111-7_medN1,8/16/22,1172,NA,53,NA,0,234,FALSE
PI473281-8,3,44,medN,1,PI473281,8,PI473281-8_medN1,8/2/22,682,20,43,NA,0,150,FALSE
PI281111-6,3,45,medN,1,PI281111,6,PI281111-6_medN1,8/1/22,580,10,45,NA,0,140,FALSE
PI498298-15,3,46,medN,1,PI498298,15,PI498298-15_medN1,7/11/22,4870,24,45,1,46,980,FALSE
PI473281-3,3,48,medN,1,PI473281,3,PI473281-3_medN1,7/28/22,1646,NA,69,NA,0,298,FALSE
PI230503-10,3,49,medN,1,PI230503,10,PI230503-10_medN1,7/26/22,328,NA,37,2,66,112,FALSE
PI472944-12,3,50,medN,1,PI472944,12,PI472944-12_medN1,7/12/22,1182,14,40,7,108,238,FALSE
PI498300-12,3,51,medN,1,PI498300,12,PI498300-12_medN1,NA,116,32,21,NA,0,68,FALSE
PI230503-1,3,52,medN,1,PI230503,1,PI230503-1_medN1,NA,96,NA,19,NA,0,60,FALSE
PI498300-8,3,53,medN,1,PI498300,8,PI498300-8_medN1,7/29/22,350,10,24,NA,0,124,FALSE
PI230503-15,3,55,medN,1,PI230503,15,PI230503-15_medN1,NA,74,6,15,NA,0,60,FALSE
PI498300-2,3,56,medN,1,PI498300,2,PI498300-2_medN1,7/29/22,296,NA,39,3,42,98,FALSE
PI275138-11,3,57,medN,1,PI275138,11,PI275138-11_medN1,7/6/22,544,NA,49,NA,0,178,FALSE
PI275138-14,3,58,medN,1,PI275138,14,PI275138-14_medN1,7/6/22,2266,NA,49,1,57,362,FALSE
PI498298-14,3,59,medN,1,PI498298,14,PI498298-14_medN1,7/10/22,2546,62,43,NA,0,658,FALSE
PI275138-1,3,60,medN,1,PI275138,1,PI275138-1_medN1,7/15/22,352,NA,40,1,18,136,FALSE
PI498298-3,3,61,medN,1,PI498298,3,PI498298-3_medN1,7/15/22,3330,340,62,NA,0,562,FALSE
PI498300-13,3,62,medN,1,PI498300,13,PI498300-13_medN1,7/21/22,822,NA,46,NA,0,190,FALSE
PI473281-5,3,63,medN,1,PI473281,5,PI473281-5_medN1,8/6/22,1152,36,49,1,11,214,FALSE
PI498300-15,3,64,medN,1,PI498300,15,PI498300-15_medN1,7/21/22,1076,NA,37,NA,0,200,FALSE
PI473281-4,3,65,medN,1,PI473281,4,PI473281-4_medN1,7/20/22,1556,NA,75,NA,0,260,FALSE
PI498300-14,3,66,medN,1,PI498300,14,PI498300-14_medN1,7/5/22,1156,NA,59,17,54,244,FALSE
PI225677-7,3,67,medN,1,PI225677,7,PI225677-7_medN1,NA,184,NA,33,1,36,74,FALSE
PI473281-2,3,68,medN,1,PI473281,2,PI473281-2_medN1,8/6/22,196,NA,33,NA,0,80,FALSE
PI281111-12,3,69,medN,1,PI281111,12,PI281111-12_medN1,8/5/22,236,NA,32,NA,0,90,FALSE
PI498300-11,3,70,medN,1,PI498300,11,PI498300-11_medN1,7/20/22,524,NA,36,6,118,134,FALSE
PI281111-14,3,73,medN,1,PI281111,14,PI281111-14_medN1,7/26/22,314,NA,32,NA,0,106,FALSE
PI472944-2,3,74,medN,1,PI472944,2,PI472944-2_medN1,7/15/22,1882,46,30,18,135,324,FALSE
PI498298-5,3,76,medN,1,PI498298,5,PI498298-5_medN1,NA,112,NA,20,NA,NA,64,FALSE
PI498298-8,3,77,medN,1,PI498298,8,PI498298-8_medN1,7/19/22,1874,240,42,6,48,276,FALSE
PI472944-9,3,78,medN,1,PI472944,9,PI472944-9_medN1,7/15/22,1334,NA,22,9,60,288,FALSE
PI275138-2,3,79,medN,1,PI275138,2,PI275138-2_medN1,7/6/22,698,12,37,6,53,164,FALSE
PI498298-6,3,80,medN,1,PI498298,6,PI498298-6_medN1,7/26/22,3348,132,61,NA,0,454,FALSE
PI472944-14,3,81,medN,1,PI472944,14,PI472944-14_medN1,7/6/22,900,14,25,7,55,246,FALSE
PI473281-7,3,84,medN,1,PI473281,7,PI473281-7_medN1,7/28/22,398,NA,36,NA,0,108,FALSE
PI275138-13,3,86,medN,1,PI275138,13,PI275138-13_medN1,7/7/22,1662,NA,52,NA,0,322,FALSE
PI472944-3,3,88,medN,1,PI472944,3,PI472944-3_medN1,7/12/22,1570,24,26,NA,0,336,FALSE
PI498298-12,3,89,medN,1,PI498298,12,PI498298-12_medN1,7/23/22,5452,NA,67,NA,0,842,TRUE
PI281111-11,3,90,medN,1,PI281111,11,PI281111-11_medN1,NA,66,NA,22,NA,0,56,FALSE
PI473281-11,3,92,medN,1,PI473281,11,PI473281-11_medN1,8/1/22,772,26,45,NA,0,172,FALSE
PI365344-2,3,93,medN,1,PI365344,2,PI365344-2_medN1,7/21/22,404,NA,41,NA,0,106,FALSE
PI498298-4,3,94,medN,1,PI498298,4,PI498298-4_medN1,7/20/22,4422,NA,63,NA,0,710,FALSE
PI234011-1,3,95,medN,1,PI234011,1,PI234011-1_medN1,8/4/22,80,NA,19,NA,0,62,FALSE
PI234011-12,3,96,medN,1,PI234011,12,PI234011-12_medN1,8/2/22,166,NA,23,NA,0,74,FALSE
PI498300-10,3,97,medN,1,PI498300,10,PI498300-10_medN1,7/6/22,2606,24,51,6,44,454,FALSE
PI365344-13,3,98,medN,1,PI365344,13,PI365344-13_medN1,8/10/22,150,NA,22,NA,0,72,FALSE
PI225677-2,3,99,medN,1,PI225677,2,PI225677-2_medN1,8/19/22,136,NA,28,NA,0,70,FALSE
PI365344-5,3,100,medN,1,PI365344,5,PI365344-5_medN1,7/20/22,NA,NA,NA,NA,NA,NA,FALSE
PI472944-13,3,101,medN,1,PI472944,13,PI472944-13_medN1,7/12/22,1738,120,28,2,21,308,FALSE
PI473281-13,3,102,medN,1,PI473281,13,PI473281-13_medN1,7/29/22,1364,NA,57,NA,0,248,FALSE
PI472944-1,3,103,medN,1,PI472944,1,PI472944-1_medN1,7/8/22,1676,NA,24,1,47,426,FALSE
PI275138-4,3,105,medN,1,PI275138,4,PI275138-4_medN1,7/6/22,1130,NA,43,5,34,235,FALSE
PI275138-8,3,106,medN,1,PI275138,8,PI275138-8_medN1,7/12/22,2234,NA,48,5,26,404,FALSE
PI473281-15,3,108,medN,1,PI473281,15,PI473281-15_medN1,7/30/22,740,18,47,11,52,166,FALSE
PI472944-10,3,109,medN,1,PI472944,10,PI472944-10_medN1,7/10/22,2244,46,25,8,95,374,FALSE
PI472944-4,3,110,medN,1,PI472944,4,PI472944-4_medN1,7/8/22,2282,24,47,8,63,364,FALSE
PI498298-2,3,111,medN,1,PI498298,2,PI498298-2_medN1,7/21/22,4908,14,59,3,53,844,TRUE
PI281111-5,3,112,medN,1,PI281111,5,PI281111-5_medN1,8/4/22,104,10,14,NA,0,64,FALSE
PI281111-13,3,113,medN,1,PI281111,13,PI281111-13_medN1,8/2/22,88,NA,19,NA,0,62,FALSE
PI230503-8,3,114,medN,1,PI230503,8,PI230503-8_medN1,7/29/22,316,NA,39,NA,0,136,FALSE
PI275138-3,3,115,medN,1,PI275138,3,PI275138-3_medN1,7/15/22,1040,NA,46,NA,0,212,FALSE
PI234011-6,3,116,medN,1,PI234011,6,PI234011-6_medN1,NA,60,NA,7,NA,0,58,FALSE
PI234011-11,3,117,medN,1,PI234011,11,PI234011-11_medN1,7/28/22,100,NA,18,NA,0,64,FALSE
PI225677-10,3,119,medN,1,PI225677,10,PI225677-10_medN1,7/27/22,152,14,29,NA,0,70,FALSE
PI281111-1,3,121,medN,1,PI281111,1,PI281111-1_medN1,8/2/22,430,NA,39,NA,0,116,FALSE
PI234011-2,3,123,medN,1,PI234011,2,PI234011-2_medN1,NA,72,NA,9,NA,0,60,FALSE
PI498298-13,3,125,medN,1,PI498298,13,PI498298-13_medN1,7/23/22,1886,358,46,4,32,332,FALSE
PI498298-9,3,126,medN,1,PI498298,9,PI498298-9_medN1,7/21/22,2708,48,58,1,23,526,FALSE
PI473281-1,3,127,medN,1,PI473281,1,PI473281-1_medN1,7/25/22,428,NA,34,NA,0,110,FALSE
PI498300-4,3,129,medN,1,PI498300,4,PI498300-4_medN1,8/1/22,126,NA,25,NA,0,74,FALSE
PI225677-14,3,131,medN,1,PI225677,14,PI225677-14_medN1,NA,66,NA,18,NA,0,58,FALSE
PI230503-9,3,132,medN,1,PI230503,9,PI230503-9_medN1,8/6/22,482,NA,30,NA,0,132,FALSE
PI234011-3,4,132,medN,2,PI234011,3,PI234011-3_medN2,8/5/22,66,NA,17,NA,0,62,FALSE
PI234011-6,4,131,medN,2,PI234011,6,PI234011-6_medN2,8/3/22,66,10,9,NA,0,58,FALSE
PI230503-7,4,130,medN,2,PI230503,7,PI230503-7_medN2,NA,230,NA,35,NA,0,88,FALSE
PI281111-4,4,129,medN,2,PI281111,4,PI281111-4_medN2,NA,56,NA,3,NA,0,56,FALSE
PI234011-12,4,128,medN,2,PI234011,12,PI234011-12_medN2,8/5/22,132,NA,19,NA,0,70,FALSE
PI498298-8,4,127,medN,2,PI498298,8,PI498298-8_medN2,7/20/22,2442,188,41,3,56,470,FALSE
PI498300-1,4,126,medN,2,PI498300,1,PI498300-1_medN2,7/11/22,990,NA,54,NA,0,212,FALSE
PI225677-6,4,125,medN,2,PI225677,6,PI225677-6_medN2,7/14/22,166,NA,40,NA,0,84,FALSE
PI498300-15,4,124,medN,2,PI498300,15,PI498300-15_medN2,7/10/22,954,NA,37,3,30,184,FALSE
PI498298-2,4,122,medN,2,PI498298,2,PI498298-2_medN2,7/22/22,6430,NA,56,8,74,968,TRUE
PI498300-2,4,121,medN,2,PI498300,2,PI498300-2_medN2,8/19/22,102,NA,32,NA,0,64,FALSE
PI498298-6,4,119,medN,2,PI498298,6,PI498298-6_medN2,7/12/22,3264,194,63,NA,0,612,FALSE
PI275138-13,4,118,medN,2,PI275138,13,PI275138-13_medN2,7/6/22,670,NA,42,1,33,166,FALSE
PI472944-1,4,117,medN,2,PI472944,1,PI472944-1_medN2,7/6/22,1972,NA,39,6,109,366,FALSE
PI234011-9,4,116,medN,2,PI234011,9,PI234011-9_medN2,7/28/22,122,34,24,NA,0,68,FALSE
PI473281-7,4,115,medN,2,PI473281,7,PI473281-7_medN2,NA,90,NA,23,NA,0,60,FALSE
PI275138-7,4,114,medN,2,PI275138,7,PI275138-7_medN2,7/6/22,2338,NA,NA,NA,0,380,FALSE
PI281111-1,4,113,medN,2,PI281111,1,PI281111-1_medN2,7/28/22,354,NA,37,NA,0,98,FALSE
PI275138-3,4,112,medN,2,PI275138,3,PI275138-3_medN2,7/8/22,1460,NA,43,3,15,280,FALSE
PI472944-4,4,110,medN,2,PI472944,4,PI472944-4_medN2,7/8/22,2216,36,45,14,119,354,FALSE
PI498298-3,4,106,medN,2,PI498298,3,PI498298-3_medN2,7/16/22,3904,24,61,NA,0,660,TRUE
PI498298-9,4,105,medN,2,PI498298,9,PI498298-9_medN2,7/22/22,892,NA,52,NA,0,214,FALSE
PI225677-14,4,102,medN,2,PI225677,14,PI225677-14_medN2,8/19/22,82,NA,41,NA,0,60,FALSE
PI472944-10,4,101,medN,2,PI472944,10,PI472944-10_medN2,7/10/22,3240,NA,39,7,162,538,FALSE
PI365344-12,4,100,medN,2,PI365344,12,PI365344-12_medN2,7/29/22,786,12,39,3,57,132,FALSE
PI498298-7,4,99,medN,2,PI498298,7,PI498298-7_medN2,7/19/22,726,NA,41,2,41,288,FALSE
PI498300-7,4,98,medN,2,PI498300,7,PI498300-7_medN2,7/6/22,234,NA,33,NA,0,92,FALSE
PI473281-3,4,97,medN,2,PI473281,3,PI473281-3_medN2,7/22/22,2128,58,65,4,53,382,FALSE
PI472944-6,4,96,medN,2,PI472944,6,PI472944-6_medN2,7/12/22,1426,102,28,6,69,310,FALSE
PI473281-6,4,95,medN,2,PI473281,6,PI473281-6_medN2,8/7/22,554,38,53,4,20,136,FALSE
PI498300-8,4,94,medN,2,PI498300,8,PI498300-8_medN2,8/10/22,364,NA,35,NA,0,106,FALSE
PI234011-13,4,93,medN,2,PI234011,13,PI234011-13_medN2,NA,66,NA,12,NA,0,58,FALSE
PI275138-10,4,92,medN,2,PI275138,10,PI275138-10_medN2,7/6/22,114,NA,26,NA,0,78,FALSE
PI498300-13,4,91,medN,2,PI498300,13,PI498300-13_medN2,7/16/22,360,NA,34,14,42,116,FALSE
PI230503-9,4,90,medN,2,PI230503,9,PI230503-9_medN2,8/3/22,654,NA,34,NA,0,148,FALSE
PI472944-14,4,89,medN,2,PI472944,14,PI472944-14_medN2,7/12/22,180,NA,NA,0,0,96,FALSE
PI498298-12,4,88,medN,2,PI498298,12,PI498298-12_medN2,7/22/22,2714,NA,53,NA,0,460,FALSE
PI473281-4,4,85,medN,2,PI473281,4,PI473281-4_medN2,8/4/22,1510,NA,60,NA,0,252,FALSE
PI275138-9,4,83,medN,2,PI275138,9,PI275138-9_medN2,7/6/22,116,NA,NA,NA,0,100,FALSE
PI234011-2,4,82,medN,2,PI234011,2,PI234011-2_medN2,8/8/22,100,NA,21,NA,0,64,FALSE
PI498298-1,4,80,medN,2,PI498298,1,PI498298-1_medN2,7/18/22,6656,NA,76,1,31,864,TRUE
PI230503-11,4,79,medN,2,PI230503,11,PI230503-11_medN2,7/30/22,552,NA,46,NA,0,130,FALSE
PI230503-14,4,76,medN,2,PI230503,14,PI230503-14_medN2,8/9/22,700,NA,33,NA,0,158,FALSE
PI275138-14,4,75,medN,2,PI275138,14,PI275138-14_medN2,7/6/22,392,NA,36,NA,0,180,FALSE
PI365344-5,4,74,medN,2,PI365344,5,PI365344-5_medN2,7/20/22,304,NA,24,NA,0,106,FALSE
PI472944-13,4,73,medN,2,PI472944,13,PI472944-13_medN2,7/11/22,1532,174,43,3,29,282,FALSE
PI498298-14,4,72,medN,2,PI498298,14,PI498298-14_medN2,7/23/22,5590,10,66,2,25,836,TRUE
PI281111-2,4,71,medN,2,PI281111,2,PI281111-2_medN2,7/30/22,830,NA,51,NA,0,158,FALSE
PI498298-15,4,70,medN,2,PI498298,15,PI498298-15_medN2,7/16/22,3682,26,28,NA,0,474,FALSE
PI472944-2,4,69,medN,2,PI472944,2,PI472944-2_medN2,7/8/22,1720,34,26,11,114,310,FALSE
PI230503-13,4,68,medN,2,PI230503,13,PI230503-13_medN2,NA,68,6,25,NA,0,58,FALSE
PI281111-12,4,67,medN,2,PI281111,12,PI281111-12_medN2,7/29/22,558,NA,34,NA,0,128,FALSE
PI275138-1,4,66,medN,2,PI275138,1,PI275138-1_medN2,7/9/22,76,NA,23,NA,0,68,FALSE
PI281111-13,4,65,medN,2,PI281111,13,PI281111-13_medN2,NA,72,NA,31,NA,0,58,FALSE
PI230503-2,4,64,medN,2,PI230503,2,PI230503-2_medN2,NA,154,NA,20,NA,0,70,FALSE
PI275138-6,4,63,medN,2,PI275138,6,PI275138-6_medN2,7/8/22,76,NA,NA,NA,0,68,FALSE
PI472944-8,4,62,medN,2,PI472944,8,PI472944-8_medN2,NA,72,30,11,NA,0,60,FALSE
PI498300-5,4,60,medN,2,PI498300,5,PI498300-5_medN2,7/12/22,760,NA,49,12,67,170,FALSE
PI275138-5,4,59,medN,2,PI275138,5,PI275138-5_medN2,7/7/22,812,NA,61,1,24,224,FALSE
PI472944-9,4,58,medN,2,PI472944,9,PI472944-9_medN2,7/9/22,478,NA,27,NA,0,208,FALSE
PI473281-13,4,57,medN,2,PI473281,13,PI473281-13_medN2,7/31/22,1410,NA,52,NA,0,242,FALSE
PI498300-3,4,56,medN,2,PI498300,3,PI498300-3_medN2,7/8/22,264,4,25,NA,0,102,FALSE
PI281111-9,4,55,medN,2,PI281111,9,PI281111-9_medN2,7/13/22,178,NA,27,NA,0,74,FALSE
PI365344-13,4,54,medN,2,PI365344,13,PI365344-13_medN2,7/26/22,270,NA,41,NA,0,92,FALSE
PI225677-10,4,53,medN,2,PI225677,10,PI225677-10_medN2,7/17/22,224,28,37,0,0,86,FALSE
PI473281-10,4,52,medN,2,PI473281,10,PI473281-10_medN2,8/2/22,480,NA,41,NA,0,124,FALSE
PI234011-4,4,51,medN,2,PI234011,4,PI234011-4_medN2,NA,128,NA,17,NA,0,66,FALSE
PI230503-15,4,50,medN,2,PI230503,15,PI230503-15_medN2,NA,56,NA,14,NA,NA,56,FALSE
PI281111-5,4,49,medN,2,PI281111,5,PI281111-5_medN2,8/2/22,374,10,47,NA,0,94,FALSE
PI472944-7,4,48,medN,2,PI472944,7,PI472944-7_medN2,7/7/22,1116,14,31,1,25,204,FALSE
PI365344-14,4,47,medN,2,PI365344,14,PI365344-14_medN2,7/18/22,120,NA,22,1,15,72,FALSE
PI365344-9,4,46,medN,2,PI365344,9,PI365344-9_medN2,NA,160,NA,25,NA,0,68,FALSE
PI473281-8,4,45,medN,2,PI473281,8,PI473281-8_medN2,7/30/22,764,36,56,NA,0,154,FALSE
PI281111-6,4,44,medN,2,PI281111,6,PI281111-6_medN2,7/22/22,528,NA,38,NA,0,126,FALSE
PI234011-1,4,43,medN,2,PI234011,1,PI234011-1_medN2,7/8/22,70,NA,8,NA,0,58,FALSE
PI473281-9,4,42,medN,2,PI473281,9,PI473281-9_medN2,NA,366,NA,45,NA,0,108,FALSE
PI281111-14,4,41,medN,2,PI281111,14,PI281111-14_medN2,NA,112,NA,19,NA,0,64,FALSE
PI498300-11,4,40,medN,2,PI498300,11,PI498300-11_medN2,7/16/22,480,NA,41,NA,0,130,FALSE
PI473281-5,4,39,medN,2,PI473281,5,PI473281-5_medN2,8/13/22,1194,20,54,2,25,210,FALSE
PI275138-8,4,38,medN,2,PI275138,8,PI275138-8_medN2,7/14/22,2914,NA,55,12,61,490,TRUE
PI230503-10,4,37,medN,2,PI230503,10,PI230503-10_medN2,8/1/22,176,74,34,1,15,76,FALSE
PI473281-1,4,36,medN,2,PI473281,1,PI473281-1_medN2,7/27/22,6443,NA,36,NA,0,132,FALSE
PI473281-11,4,35,medN,2,PI473281,11,PI473281-11_medN2,8/4/22,638,16,45,NA,0,148,FALSE
PI281111-7,4,34,medN,2,PI281111,7,PI281111-7_medN2,8/17/22,1312,NA,48,NA,0,220,FALSE
PI281111-8,4,33,medN,2,PI281111,8,PI281111-8_medN2,NA,120,NA,33,NA,0,68,FALSE
PI498298-10,4,32,medN,2,PI498298,10,PI498298-10_medN2,7/12/22,7060,NA,80,8,34,1142,TRUE
PI498300-10,4,31,medN,2,PI498300,10,PI498300-10_medN2,7/11/22,2016,NA,63,NA,0,332,FALSE
PI498300-4,4,30,medN,2,PI498300,4,PI498300-4_medN2,8/4/22,398,NA,62,3,37,124,FALSE
PI473281-15,4,29,medN,2,PI473281,15,PI473281-15_medN2,8/3/22,1472,NA,43,0,0,256,FALSE
PI498298-5,4,28,medN,2,PI498298,5,PI498298-5_medN2,8/3/22,400,NA,36,NA,0,110,FALSE
PI275138-4,4,26,medN,2,PI275138,4,PI275138-4_medN2,7/6/22,574,NA,47,1,38,164,FALSE
PI275138-2,4,25,medN,2,PI275138,2,PI275138-2_medN2,7/6/22,932,NA,51,NA,0,200,FALSE
PI275138-11,4,24,medN,2,PI275138,11,PI275138-11_medN2,7/11/22,104,NA,24,NA,0,72,FALSE
PI473281-12,4,23,medN,2,PI473281,12,PI473281-12_medN2,7/31/22,526,14,39,NA,0,118,FALSE
PI225677-2,4,22,medN,2,PI225677,2,PI225677-2_medN2,8/1/22,92,22,17,NA,0,64,FALSE
PI225677-7,4,21,medN,2,PI225677,7,PI225677-7_medN2,8/9/22,168,18,33,NA,0,72,FALSE
PI472944-11,4,20,medN,2,PI472944,11,PI472944-11_medN2,7/19/22,2344,14,34,24,102,318,FALSE
PI281111-10,4,19,medN,2,PI281111,10,PI281111-10_medN2,7/30/22,216,12,41,NA,0,78,FALSE
PI275138-12,4,14,medN,2,PI275138,12,PI275138-12_medN2,7/11/22,994,NA,42,11,63,214,FALSE
PI473281-14,4,13,medN,2,PI473281,14,PI473281-14_medN2,8/15/22,794,8,48,NA,0,182,FALSE
PI498298-4,4,12,medN,2,PI498298,4,PI498298-4_medN2,7/19/22,536,28,45,NA,0,176,FALSE
PI472944-5,4,11,medN,2,PI472944,5,PI472944-5_medN2,7/6/22,804,122,37,8,61,218,FALSE
PI498300-9,4,10,medN,2,PI498300,9,PI498300-9_medN2,7/14/22,NA,28,NA,NA,NA,NA,FALSE
PI281111-3,4,9,medN,2,PI281111,3,PI281111-3_medN2,8/11/22,410,NA,48,0,0,112,FALSE
PI365344-6,4,8,medN,2,PI365344,6,PI365344-6_medN2,8/3/22,752,50,42,NA,0,154,FALSE
PI498300-14,4,7,medN,2,PI498300,14,PI498300-14_medN2,7/18/22,94,NA,23,1,27,62,FALSE
PI472944-12,4,5,medN,2,PI472944,12,PI472944-12_medN2,7/8/22,NA,78,NA,NA,NA,NA,FALSE
PI234011-11,4,4,medN,2,PI234011,11,PI234011-11_medN2,8/4/22,106,NA,28,NA,0,64,FALSE
PI498298-13,4,2,medN,2,PI498298,13,PI498298-13_medN2,7/19/22,1622,52,51,2,24,290,FALSE
PI230503-12,4,1,medN,2,PI230503,12,PI230503-12_medN2,8/7/22,354,NA,57,NA,0,88,FALSE
PI473281-3,1,1,lowN,1,PI473281,3,PI473281-3_lowN1,7/20/22,766,NA,59,NA,0,152,FALSE
PI498300-10,1,2,lowN,1,PI498300,10,PI498300-10_lowN1,7/19/22,690,40,47,12,34,156,FALSE
PI365344-3,1,4,lowN,1,PI365344,3,PI365344-3_lowN1,8/18/22,68,10,18,NA,0,56,FALSE
PI498298-13,1,5,lowN,1,PI498298,13,PI498298-13_lowN1,7/23/22,2162,14,53,NA,0,386,FALSE
PI234011-3,1,7,lowN,1,PI234011,3,PI234011-3_lowN1,NA,68,NA,14,NA,0,56,FALSE
PI472944-5,1,8,lowN,1,PI472944,5,PI472944-5_lowN1,7/11/22,920,146,44,2,49,204,FALSE
PI498298-7,1,9,lowN,1,PI498298,7,PI498298-7_lowN1,7/19/22,1982,60,53,1,36,328,FALSE
PI234011-12,1,10,lowN,1,PI234011,12,PI234011-12_lowN1,8/2/22,120,NA,16,NA,0,64,FALSE
PI234011-9,1,12,lowN,1,PI234011,9,PI234011-9_lowN1,7/8/22,74,34,11,NA,0,56,FALSE
PI275138-7,1,13,lowN,1,PI275138,7,PI275138-7_lowN1,7/6/22,2240,NA,65,1,27,372,FALSE
PI281111-14,1,14,lowN,1,PI281111,14,PI281111-14_lowN1,8/11/22,136,NA,23,NA,0,64,FALSE
PI234011-2,1,15,lowN,1,PI234011,2,PI234011-2_lowN1,NA,68,NA,17,NA,0,54,FALSE
PI498298-8,1,16,lowN,1,PI498298,8,PI498298-8_lowN1,7/13/22,1816,550,30,3,23,234,FALSE
PI230503-15,1,17,lowN,1,PI230503,15,PI230503-15_lowN1,NA,66,12,15,NA,0,56,FALSE
PI473281-6,1,18,lowN,1,PI473281,6,PI473281-6_lowN1,8/1/22,278,46,41,1,12,90,FALSE
PI498298-1,1,19,lowN,1,PI498298,1,PI498298-1_lowN1,7/19/22,1576,NA,46,NA,0,284,FALSE
PI472944-10,1,20,lowN,1,PI472944,10,PI472944-10_lowN1,7/17/22,1392,48,18,10,74,240,FALSE
PI473281-13,1,21,lowN,1,PI473281,13,PI473281-13_lowN1,8/5/22,590,20,51,NA,0,136,FALSE
PI498298-9,1,22,lowN,1,PI498298,9,PI498298-9_lowN1,7/20/22,1904,NA,52,NA,0,300,FALSE
PI275138-8,1,23,lowN,1,PI275138,8,PI275138-8_lowN1,7/12/22,1318,NA,38,13,67,226,FALSE
PI473281-12,1,25,lowN,1,PI473281,12,PI473281-12_lowN1,8/9/22,290,NA,31,NA,0,88,FALSE
PI498300-1,1,26,lowN,1,PI498300,1,PI498300-1_lowN1,7/6/22,1050,NA,47,NA,0,218,FALSE
PI498300-5,1,27,lowN,1,PI498300,5,PI498300-5_lowN1,7/12/22,270,NA,35,2,52,88,FALSE
PI498300-13,1,28,lowN,1,PI498300,13,PI498300-13_lowN1,NA,184,NA,30,NA,0,82,FALSE
