uniqueID,PI,treatment,individual,plot,row,range,flowering,plant_height,alive,n_daughter_plants,dispersion,dry_vine_mass,tuber_mass,tuber_number,n_bags
458342_12_lowN,458342,lowN,12,1,1,1,6/21/23,20,TRUE,4,36,57.1,,,1
234011_17_lowN,234011,lowN,17,2,1,2,7/27/23,16,,,NA,46.2,,,1
498300_6_lowN,498300,lowN,6,3,1,3,,40,FALSE,28,79,108.2,12,2,1
545916_17_lowN,545916,lowN,17,4,1,4,,26,FALSE,11,42,74.6,102,22,1
458342_18_lowN,458342,lowN,18,5,1,5,NA,NA,NA,NA,NA,,,,
473281_6_lowN,473281,lowN,6,6,1,6,,26,TRUE,23,56,163.2,114,16,1
458342_9_lowN,458342,lowN,9,7,1,7,8/28/23,15,TRUE,,0,70.2,,,1
243371_16_lowN,243371,lowN,16,8,1,8,,11,TRUE,0,0,83.1,2,2,1
498298_12_lowN,498298,lowN,12,9,1,9,7/13/23,33,TRUE,19,120,353.5,,,2
195198_13_lowN,195198,lowN,13,10,1,10,7/25/23,21,TRUE,,0,47,46,4,1
310994_4_lowN,310994,lowN,4,11,1,11,,19,TRUE,25,47,69.7,6,1,1
545916_12_lowN,545916,lowN,12,12,1,12,,19,TRUE,,0,55.6,10,3,1
245320_7_lowN,245320,lowN,7,13,1,13,,33,TRUE,,0,138.8,104,19,1
498300_7_lowN,498300,lowN,7,14,1,14,,23,TRUE,22,63,89.6,2,2,1
245320_14_lowN,245320,lowN,14,15,1,15,9/24/23,32,TRUE,,0,114.1,128,15,1
498298_18_lowN,498298,lowN,18,16,1,16,8/6/23,47,TRUE,7,33,171,98,9,1
498298_15_lowN,498298,lowN,15,17,2,16,7/18/23,41,TRUE,12,57,181.5,468,33,1
243371_6_lowN,243371,lowN,6,18,2,15,,36,TRUE,,0,128.3,238,25,1
498298_11_lowN,498298,lowN,11,19,2,14,NA,NA,NA,NA,NA,,,,
472944_6_lowN,472944,lowN,6,20,2,13,7/7/23,21,TRUE,,0,123.7,6,3,1
230503_11_lowN,230503,lowN,11,21,2,12,,27,TRUE,,0,58.7,8,2,1
472944_20_lowN,472944,lowN,20,22,2,11,7/21/23,21,TRUE,1,23,72.7,30,6,1
458342_11_lowN,458342,lowN,11,23,2,10,8/22/23,19,TRUE,24,44,78,16,8,1
230503_1_lowN,230503,lowN,1,24,2,9,,31,TRUE,,0,56.6,38,3,1
275138_4_lowN,275138,lowN,4,25,2,8,7/17/23,32,TRUE,18,123,229.2,,,1
230503_3_lowN,230503,lowN,3,26,2,7,,22,TRUE,,0,51.8,10,2,1
365344_18_lowN,365344,lowN,18,27,2,6,7/22/23,24,TRUE,,0,86.6,,,1
310994_12_lowN,310994,lowN,12,28,2,5,7/16/23,22,TRUE,40,60,196.7,,,1
195198_12_lowN,195198,lowN,12,29,2,4,8/22/23,15,TRUE,0,0,59.5,,,1
281111_10_lowN,281111,lowN,10,30,2,3,NA,NA,TRUE,NA,NA,,,,
245320_16_lowN,245320,lowN,16,31,2,2,,23,TRUE,,0,73.5,44,11,1
473281_8_lowN,473281,lowN,8,32,2,1,9/14/23,22,TRUE,,0,82.5,88,12,1
195198_14_lowN,195198,lowN,14,33,3,1,NA,NA,NA,NA,NA,,,,
230503_17_lowN,230503,lowN,17,34,3,2,NA,16,NA,NA,NA,,,,
498300_5_lowN,498300,lowN,5,35,3,3,NA,NA,NA,NA,NA,,,,
234011_6_lowN,234011,lowN,6,36,3,4,,21,TRUE,,0,68.6,14,18,1
225677_3_lowN,225677,lowN,3,37,3,5,10/13/23,9,TRUE,,0,51.3,4,1,1
365344_12_lowN,365344,lowN,12,38,3,6,8/17/23,22,TRUE,,0,94.4,,,1
498298_9_lowN,498298,lowN,9,39,3,7,7/28/23,32,TRUE,45,67,210.4,42,5,1
275138_3_lowN,275138,lowN,3,40,3,8,8/15/23,23,TRUE,16,57,107.6,,,1
225677_16_lowN,225677,lowN,16,41,3,9,8/19/23,29,TRUE,,0,63.6,,,1
230503_8_lowN,230503,lowN,8,42,3,10,,34,TRUE,5,28,111.7,24,4,1
458342_8_lowN,458342,lowN,8,43,3,11,NA,NA,NA,NA,NA,,,,
243371_14_lowN,243371,lowN,14,44,3,12,9/1/23,11,,NA,NA,50.7,,,1
458342_17_lowN,458342,lowN,17,45,3,13,6/29/23,21,,2,27,84.3,52,9,1
230503_20_lowN,230503,lowN,20,46,3,14,,18,TRUE,7,30,75.4,74,20,1
234011_2_lowN,234011,lowN,2,47,3,15,8/11/23,18,FALSE,,0,53.4,18,6,1
230503_16_lowN,230503,lowN,16,48,3,16,NA,NA,TRUE,,,,,,
545916_19_lowN,545916,lowN,19,49,4,16,,41,TRUE,9,41,111.8,76,13,1
243371_17_lowN,243371,lowN,17,50,4,15,,18,TRUE,,0,58.9,,,1
545916_10_lowN,545916,lowN,10,51,4,14,,14,TRUE,,0,61.7,8,7,1
225677_18_lowN,225677,lowN,18,52,4,13,7/22/23,20,TRUE,,0,58.3,,,1
545916_14_lowN,545916,lowN,14,53,4,12,,19,TRUE,,0,56.6,34,7,1
243371_12_lowN,243371,lowN,12,54,4,11,,37,TRUE,,0,266.9,1076,34,1
458342_14_lowN,458342,lowN,14,55,4,10,6/29/23,15,TRUE,24,40,113.9,22,13,1
234011_14_lowN,234011,lowN,14,56,4,9,9/22/23,24,TRUE,,,89.8,150,42,1
365344_14_lowN,365344,lowN,14,57,4,8,9/8/23,25,TRUE,,0,80.2,2,7,1
458342_1_lowN,458342,lowN,1,58,4,7,NA,NA,NA,,,,,,
498300_19_lowN,498300,lowN,19,59,4,6,NA,14,FALSE,3,32,54.9,26,7,1
281111_8_lowN,281111,lowN,8,60,4,5,9/24/23,33,TRUE,,0,99.2,,,1
225677_8_lowN,225677,lowN,8,61,4,4,9/17/23,23,TRUE,,0,72,,,1
234011_19_lowN,234011,lowN,19,62,4,3,8/21/23,20,,,0,53.7,24,8,1
365344_15_lowN,365344,lowN,15,63,4,2,8/11/23,22,TRUE,,0,100.2,82,25,1
498300_20_lowN,498300,lowN,20,64,4,1,,24,TRUE,57,125,234.1,64,24,1
195198_10_lowN,195198,lowN,10,65,5,1,,NA,NA,NA,NA,,,,
545916_18_lowN,545916,lowN,18,66,5,2,,20,TRUE,37,30,81.9,8,5,1
365344_1_lowN,365344,lowN,1,67,5,3,8/19/23,23,TRUE,,0,119.5,110,8,1
472944_18_lowN,472944,lowN,18,68,5,4,7/6/23,29,,1,51,151.5,6,1,1
498300_16_lowN,498300,lowN,16,69,5,5,,19,TRUE,,0,57.4,14,4,1
310994_11_lowN,310994,lowN,11,70,5,6,NA,18,,,NA,,,,
275138_2_lowN,275138,lowN,2,71,5,7,NA,NA,,,NA,,,,
195198_7_lowN,195198,lowN,7,72,5,8,8/24/23,20,TRUE,,0,79.5,50,11,1
498298_19_lowN,498298,lowN,19,73,5,9,8/21/23,25,TRUE,11,33,107.9,8,,1
310994_10_lowN,310994,lowN,10,74,5,10,8/17/23,26,TRUE,119,65,221.6,26,3,1
365344_16_lowN,365344,lowN,16,75,5,11,10/9/23,17,TRUE,,0,129.3,,,1
498300_1_lowN,498300,lowN,1,76,5,12,,23,TRUE,53,78,216.3,66,20,1
310994_2_lowN,310994,lowN,2,77,5,13,NA,NA,NA,NA,NA,,,,
365344_2_lowN,365344,lowN,2,78,5,14,8/24/23,24,TRUE,,0,185.9,28,7,1
310994_18_lowN,310994,lowN,18,79,5,15,7/18/23,26,FALSE,22,66,135.5,,,1
545916_16_lowN,545916,lowN,16,80,5,16,,37,TRUE,196,83,327.8,34,8,1
473281_1_lowN,473281,lowN,1,81,6,16,NA,NA,NA,,,,,,
365344_20_lowN,365344,lowN,20,82,6,15,,24,TRUE,0,0,115.7,,,1
245320_13_lowN,245320,lowN,13,83,6,14,NA,NA,NA,,,,,,
